Code	Repository	GeneName	GeneSymbol	MotifLength
MAFK_HUMAN.H10MO.S	HOCOMOCOv10	MAFK	MAFK	10
MAF_HUMAN.H10MO.B	HOCOMOCOv10	MAF	MAF	8
MAX_HUMAN.H10MO.A	HOCOMOCOv10	MAX	MAX	11
MAZ_HUMAN.H10MO.A	HOCOMOCOv10	MAZ	MAZ	22
MBD2_HUMAN.H10MO.B	HOCOMOCOv10	MBD2	MBD2	11
MCR_HUMAN.H10MO.D	HOCOMOCOv10	MCR	NR3C2	17
MECP2_HUMAN.H10MO.C	HOCOMOCOv10	MECP2	MECP2	7
MEF2A_HUMAN.H10MO.A	HOCOMOCOv10	MEF2A	MEF2A	13
MEF2B_HUMAN.H10MO.D	HOCOMOCOv10	MEF2B	MEF2B	16
MEF2C_HUMAN.H10MO.C	HOCOMOCOv10	MEF2C	MEF2C	13
MEF2D_HUMAN.H10MO.C	HOCOMOCOv10	MEF2D	MEF2D	12
MEIS1_HUMAN.H10MO.C	HOCOMOCOv10	MEIS1	MEIS1	13
MEIS2_HUMAN.H10MO.B	HOCOMOCOv10	MEIS2	MEIS2	13
MEIS3_HUMAN.H10MO.D	HOCOMOCOv10	MEIS3	MEIS3	11
MEOX1_HUMAN.H10MO.D	HOCOMOCOv10	MEOX1	MEOX1	16
MEOX2_HUMAN.H10MO.D	HOCOMOCOv10	MEOX2	MEOX2	11
MESP1_HUMAN.H10MO.D	HOCOMOCOv10	MESP1	MESP1	11
MITF_HUMAN.H10MO.C	HOCOMOCOv10	MITF	MITF	10
MIXL1_HUMAN.H10MO.D	HOCOMOCOv10	MIXL1	MIXL1	11
MLX_HUMAN.H10MO.D	HOCOMOCOv10	MLX	MLX	11
MNT_HUMAN.H10MO.D	HOCOMOCOv10	MNT	MNT	16
MNX1_HUMAN.H10MO.D	HOCOMOCOv10	MNX1	MNX1	19
MSX1_HUMAN.H10MO.D	HOCOMOCOv10	MSX1	MSX1	18
MSX2_HUMAN.H10MO.D	HOCOMOCOv10	MSX2	MSX2	7
MTF1_HUMAN.H10MO.C	HOCOMOCOv10	MTF1	MTF1	17
MYB_HUMAN.H10MO.C	HOCOMOCOv10	MYB	MYB	7
MYCN_HUMAN.H10MO.B	HOCOMOCOv10	MYCN	MYCN	8
MYC_HUMAN.H10MO.A	HOCOMOCOv10	MYC	MYC	11
MYF6_HUMAN.H10MO.C	HOCOMOCOv10	MYF6	MYF6	7
MYOD1_HUMAN.H10MO.C	HOCOMOCOv10	MYOD1	MYOD1	9
MYOG_HUMAN.H10MO.D	HOCOMOCOv10	MYOG	MYOG	13
MZF1_HUMAN.H10MO.D	HOCOMOCOv10	MZF1	MZF1	9
NANOG_HUMAN.H10MO.A	HOCOMOCOv10	NANOG	NANOG	17
NANOG_HUMAN.H10MO.S	HOCOMOCOv10	NANOG	NANOG	8
NFAT5_HUMAN.H10MO.D	HOCOMOCOv10	NFAT5	NFAT5	15
NFE2_HUMAN.H10MO.B	HOCOMOCOv10	NFE2	NFE2	14
NFIA_HUMAN.H10MO.C	HOCOMOCOv10	NFIA	NFIA	15
NFIA_HUMAN.H10MO.S	HOCOMOCOv10	NFIA	NFIA	7
NFIC_HUMAN.H10MO.A	HOCOMOCOv10	NFIC	NFIC	17
NFIL3_HUMAN.H10MO.C	HOCOMOCOv10	NFIL3	NFIL3	14
NFKB1_HUMAN.H10MO.B	HOCOMOCOv10	NFKB1	NFKB1	11
NFKB2_HUMAN.H10MO.D	HOCOMOCOv10	NFKB2	NFKB2	11
NFYA_HUMAN.H10MO.A	HOCOMOCOv10	NFYA	NFYA	13
NFYB_HUMAN.H10MO.A	HOCOMOCOv10	NFYB	NFYB	13
NFYC_HUMAN.H10MO.B	HOCOMOCOv10	NFYC	NFYC	14
NGN2_HUMAN.H10MO.D	HOCOMOCOv10	NGN2	NEUROG2	13
NKX21_HUMAN.H10MO.D	HOCOMOCOv10	NKX21	NKX2-1	10
NKX22_HUMAN.H10MO.D	HOCOMOCOv10	NKX22	NKX2-2	12
NKX23_HUMAN.H10MO.D	HOCOMOCOv10	NKX23	NKX2-3	11
NKX25_HUMAN.H10MO.C	HOCOMOCOv10	NKX25	NKX2-5	7
NKX28_HUMAN.H10MO.C	HOCOMOCOv10	NKX28	NKX2-8	9
NKX31_HUMAN.H10MO.C	HOCOMOCOv10	NKX31	NKX3-1	13
NKX32_HUMAN.H10MO.C	HOCOMOCOv10	NKX32	NKX3-2	11
NOBOX_HUMAN.H10MO.C	HOCOMOCOv10	NOBOX	NOBOX	9
NOTO_HUMAN.H10MO.D	HOCOMOCOv10	NOTO	NOTO	11
NR0B1_HUMAN.H10MO.D	HOCOMOCOv10	NR0B1	NR0B1	10
NR1D1_HUMAN.H10MO.C	HOCOMOCOv10	NR1D1	NR1D1	14
NR1H2_HUMAN.H10MO.D	HOCOMOCOv10	NR1H2	NR1H2	19
NR1H4_HUMAN.H10MO.C	HOCOMOCOv10	NR1H4	NR1H4	14
NR1I2_HUMAN.H10MO.C	HOCOMOCOv10	NR1I2	NR1I2	19
NR1I2_HUMAN.H10MO.S	HOCOMOCOv10	NR1I2	NR1I2	8
NR1I3_HUMAN.H10MO.C	HOCOMOCOv10	NR1I3	NR1I3	18
